ParticipantID,Timestamp,Feature,Q1,Q2,Q3
P1,2025-09-28 03:19:07,TV,2,2,3
P1,2025-09-28 03:25:35,train,5,5,4
P1,2025-09-28 03:28:25,customisation,5,4,4
P1,2025-09-28 03:32:46,frisbee,2,2,3
P1,2025-09-28 03:35:09,emotion show,5,4,4
P2,2025-09-28 23:56:34,TV,3,2,2
P2,2025-09-29 00:01:31,customisation,2,2,4
P2,2025-09-29 00:05:13,emotion show,4,4,4
P2,2025-09-29 00:14:19,train,1,1,1
P2,2025-09-29 00:17:25,frisbee,4,4,4
P3,2025-09-29 03:09:19,TV,4,4,3
P3,2025-09-29 03:13:37,emotion show,4,4,3
P3,2025-09-29 03:22:49,frisbee,4,4,4
P3,2025-09-29 03:25:29,customisation,4,4,4
P3,2025-09-29 03:34:58,train,4,4,4
P4,2025-09-29 06:10:12,TV,4,3,4
P4,2025-09-29 06:13:15,frisbee,4,3,4
P4,2025-09-29 06:17:38,train,4,4,5
P4,2025-09-29 06:21:17,emotion show,4,4,4
P4,2025-09-29 06:22:45,customisation,3,4,4
P5,2025-09-30 01:35:12,TV,5,4,4
P5,2025-09-30 01:39:44,train,4,5,5
P5,2025-09-30 01:43:41,customisation,5,4,4
P5,2025-09-30 01:48:22,frisbee,4,4,4
P5,2025-09-30 01:50:45,emotion show,5,5,5
P6,2025-09-30 03:02:48,TV,2,4,5
P6,2025-09-30 03:07:05,customisation,5,4,5
P6,2025-09-30 03:11:06,emotion show,4,3,5
P6,2025-09-30 03:16:25,train,4,4,5
P6,2025-09-30 03:20:46,frisbee,4,2,4
P7,2025-09-30 05:06:58,TV,3,4,3
P7,2025-09-30 05:13:24,emotion show,4,4,3
P7,2025-09-30 05:17:49,frisbee,4,4,3
P7,2025-09-30 05:21:00,customisation,4,4,4
